Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.7023634446175,12.6836262013497,32.4069951852859,6.01556104907021,20.7103542307117,18.3355224940683,8.94847841787669,14.2146018627839,3.80655025334298,6.2646549462211,9.71695934954886,11.1802550508523,10.1970849072165,6.48548158599334,0.651383983100203,0.102864252230049,2.9070049470492,6.39455373410259,-1.10397948945291,4.69682129730739,3.16161206634895,0.713596036092994
Algeria,DZA,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,12.499999291498,16.6666658269606,14.2857201465203,4.16665871569977,18.0000096492312,35.5932098659354,15.000007595142,26.0869561788724,25.8620636142631,19.8630131455492,28.0000048712552,17.0040459473193,16.2629769854288,12.7976229166667,13.192610365425,13.5198072070899,16.8377903554009,10.5448096839955,11.7647086692229,8.39260480060055,17.1915997928163,39.1937292121503,35.076430123899,20.3097092950403,31.9801960878346,25.1687917819008,21.4863611724018,13.4188437472756,9.52588164736225,7.94281417743011,0.0999999999999943,3.00000000000003,9.69999999999997,3.40000000000001,0.699999999999989,-1.90000000000009,6.20000000000015,1.69999999999987,12.1,8.50000000000004,5.79999999999995,9.70000000000002,2.8,0.799999999999955,1.0999999999997,3.10000000000082,1.29999999999968,2.79999999999995,2.30000000000015
American Samoa,ASM,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.98999999999998,2.10000002508104,8.26999995252706,9.82000004961469,8.49999995550637,12.3400000040033,-9.23570396114275,5.06017083157202,27.2346512126293,0.622286762895087,21.3825293942233,-14.1387803788985,-8.78121321363729,-10.5287109615407,0.274065682531671,-1.70861748607946
Antigua and Barbuda,ATG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.444679213709009,0.760544047764938,2.16969549390515,3.21958426280575,3.35688000456005,2.62183855162084,0.577056274949513,-2.06940281826581,-5.0781393180243,1.46082229558715,2.71800069885624,9.85543506813875,3.722523138301,7.82977850975357,5.01507838599295,5.63425421431683,5.45217570634779,4.56490954976074,3.009296017029,5.32258741050417,2.9450304007775,6.9460061935652,-0.52437566428037,2.71507413105114,-3.30305768485538
Armenia,ARM,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2.18174887329057,-5.87943078914522,-2.40982366468278,-2.36527194510505,1.41077151913626,4.09599734638424,3.69371584118107,4.54091239258952,11.8735562318315,10.6637602256946,18.6304447793667,13.6252888880577,5.2593509312596,-1.36529962130639,-0.914900457537499,3.92931585815515,5.83477857643635,-0.842703020008557,7.61231728923903,-1.18533785135844,4.69751655597943,-2.44173265150567,-2.08034566916841,-3.0370186661609
Aruba,ABW,General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
